CO,DIFF,FECHA,HOURNORAIN,NO,NO2,NOX,O3,PM10,PM25,PMCO,RH,SO2,Station_code,T2MMAX,T2MMEAN,T2MMIN,TMP,TPRECMAX,WDR,WSP,class_tmp,latitud,longitud,prev_CO,prev_NO2,prev_NOX,prev_O3,prev_PM10,prev_PM25,prev_PMCO,prev_SO2
16.4604166667,-1.4407866667,2016-02-19 00:00:00,28126.98828,8.2916666667,31.5416666667,39.7083333333,51.2916666667,63.375,31.0833333333,32.25,31.4583333333,27.4166666667,AJM,26.37875,14.87588,6.07278,16.3166666667,0,186.5833333333,2.1708333333,2,19.2721,-99.2077,13.9666666667,30.3333333333,36.7916666667,60,58.7083333333,31.375,27.2916666667,1.7083333333
13.79375,-0.22956,2016-02-20 00:00:00,8094.34082,7,29.9166666667,36.7916666667,50.4583333333,60.75,33.9166666667,26.9166666667,40.875,27,AJM,25.81002,15.64544,7.8236,15.875,1E-05,182.625,2.0541666667,2,19.2721,-99.2077,16.4604166667,31.5416666667,39.7083333333,51.2916666667,63.375,31.0833333333,32.25,13.375
12.4395833333,-1.5374566667,2016-02-21 00:00:00,12168.38672,3.5,21.0833333333,24.5,72.125,53.7083333333,29.4583333333,24.2083333333,36.9166666667,7.0833333333,AJM,26.0296,16.00421,7.89358,17.5416666667,0,148.5833333333,2.0791666667,2,19.2721,-99.2077,13.79375,29.9166666667,36.7916666667,50.4583333333,60.75,33.9166666667,26.9166666667,27.4166666667
15.8401847387,-1.7154233333,2016-02-22 00:00:00,37029.20703,3.6348283377,19.163070575,22.6322350377,60.9691353002,56.7083333333,26.25,30.3333333333,41.8333333333,2.7040514221,AJM,25.57455,16.01791,7.84329,17.7333333333,0,154.4166666667,2.9083333333,1,19.2721,-99.2077,12.4395833333,21.0833333333,24.5,72.125,53.7083333333,29.4583333333,24.2083333333,27
11.9145833333,-2.6059266667,2016-02-23 00:00:00,34946.67969,3.5,18.6666666667,22.1666666667,56.125,40.8333333333,17.375,23.4166666667,35.8333333333,2.625,AJM,26.74764,15.67324,7.07949,18.2791666667,0,144.75,2.6541666667,1,19.2721,-99.2077,15.8401847387,19.163070575,22.6322350377,60.9691353002,56.7083333333,26.25,30.3333333333,7.0833333333
17.6247064925,-2.53692,2016-02-24 00:00:00,13983.55469,5.7083333333,23.875,29.625,50.909979089,61.3333333333,27.2916666667,34.1666666667,38.875,6.5833333333,AJM,24.6563,15.03808,5.75097,17.575,0,162.0833333333,2.5208333333,1,19.2721,-99.2077,11.9145833333,18.6666666667,22.1666666667,56.125,40.8333333333,17.375,23.4166666667,2.7040514221
16.8014963183,-2.39066,2016-02-25 00:00:00,7366.55957,12.5,28.6666666667,41.25,51.5,61.0260625972,27.0943975085,34.0159035132,48.5416666667,9.3333333333,AJM,23.90469,14.29684,6.32473,16.6875,0,159,2.5333333333,1,19.2721,-99.2077,17.6247064925,23.875,29.625,50.909979089,61.3333333333,27.2916666667,34.1666666667,2.625
15.2479166667,-2.6293033333,2016-02-26 00:00:00,0,3.8333333333,23.9166666667,27.75,60.75,62.3333333333,32.4166666667,29.875,47.3333333333,13.25,AJM,21.69854,14.47903,8.29543,17.1083333333,0,148.9166666667,2.0625,1,19.2721,-99.2077,16.8014963183,28.6666666667,41.25,51.5,61.0260625972,27.0943975085,34.0159035132,6.5833333333
11.5125,-1.3938566667,2016-02-27 00:00:00,0,7.125,29.375,36.375,31.125,56.9166666667,34.5833333333,22.3333333333,61.2083333333,10.9166666667,AJM,21.07595,13.04781,8.44665,14.4416666667,0.0005,228.125,2.3083333333,2,19.2721,-99.2077,15.2479166667,23.9166666667,27.75,60.75,62.3333333333,32.4166666667,29.875,9.3333333333
4.7776847387,-2.42664,2016-02-28 00:00:00,0,2.6348283377,12.663070575,15.1322350377,44.1358019668,27.1666666667,18.875,8.25,50.3333333333,1.7457180887,AJM,22.76513,14.23586,8.82531,16.6625,0.00036,198.4166666667,2.3958333333,1,19.2721,-99.2077,11.5125,29.375,36.375,31.125,56.9166666667,34.5833333333,22.3333333333,13.25
6.5125,-1.7709833333,2016-02-29 00:00:00,0,3.2916666667,16.2083333333,19.5,47.5,36.6666666667,24.0833333333,12.5,52.2916666667,3.5,AJM,21.22646,14.57485,8.83944,16.3458333333,1E-05,176.4166666667,2.4166666667,1,19.2721,-99.2077,4.7776847387,12.663070575,15.1322350377,44.1358019668,27.1666666667,18.875,8.25,10.9166666667
8.225,-1.82689,2016-03-01 00:00:00,0,6.625,25.6666666667,32.3333333333,37.375,42.5833333333,27,15.7083333333,57.9166666667,1.4583333333,AJM,18.72283,14.34811,10.27361,16.175,5E-05,192.0416666667,1.8375,1,19.2721,-99.2077,6.5125,16.2083333333,19.5,47.5,36.6666666667,24.0833333333,12.5,1.7457180887
4.3229166667,0.2230333333,2016-03-02 00:00:00,0,7.75,21.0416666667,28.9166666667,20.3333333333,25.1666666667,17.125,8,77.0833333333,4.1666666667,AJM,16.53057,12.7897,9.46584,12.5666666667,8E-05,182.0416666667,1.7583333333,2,19.2721,-99.2077,8.225,25.6666666667,32.3333333333,37.375,42.5833333333,27,15.7083333333,3.5
5.875,-2.3751866667,2016-03-03 00:00:00,0,7.7083333333,21.4583333333,29.125,33.875,31.9166666667,20.875,11.0833333333,60.75,1.9583333333,AJM,19.90594,12.42898,8.50228,14.8041666667,0.00011,181.375,1.8583333333,1,19.2721,-99.2077,4.3229166667,21.0416666667,28.9166666667,20.3333333333,25.1666666667,17.125,8,1.4583333333
6.0506157958,0.1208733333,2016-03-04 00:00:00,0,4.0858250074,20.1190065139,24.164836174,32.3791143891,26.4909115798,14.7221635523,11.5615460581,54.5462753379,2.270641259,AJM,20.40264,13.13754,7.90255,13.0166666667,2E-05,209.9025663803,2.6482041525,2,19.2721,-99.2077,5.875,21.4583333333,29.125,33.875,31.9166666667,20.875,11.0833333333,4.1666666667
6.7485180721,-2.3321,2016-03-05 00:00:00,2863.54614,3.6348283377,16.7047372416,20.3822350377,45.8858019668,24.625,12.7083333333,12.125,44,2.8290514221,AJM,24.01116,13.0679,4.58059,15.4,1E-05,172.875,2.7666666667,1,19.2721,-99.2077,6.0506157958,20.1190065139,24.164836174,32.3791143891,26.4909115798,14.7221635523,11.5615460581,1.9583333333
4.6565578979,-2.0333566667,2016-03-06 00:00:00,6965.69238,2.4338316681,14.0404679694,16.3913005681,56.1424895445,26.6510625972,17.0943975085,9.6409035131,35.5833333333,1.4707949185,AJM,24.63015,14.68331,6.31976,16.7166666667,0,147.5416666667,3.1375,1,19.2721,-99.2077,6.7485180721,16.7047372416,20.3822350377,45.8858019668,24.625,12.7083333333,12.125,2.270641259
5.1410796516,-2.4676633333,2016-03-07 00:00:00,5151.25098,2.9338316681,10.6654679694,13.5996339015,49.4341562112,27.2278802812,16.9666314647,10.3452609682,51.0833333333,1.1374615851,AJM,22.66555,14.60317,7.58303,17.0708333333,2E-05,174.875,5.7916666667,1,19.2721,-99.2077,4.6565578979,14.0404679694,16.3913005681,56.1424895445,26.6510625972,17.0943975085,9.6409035131,2.8290514221
3.9682061561,-1.3709466667,2016-03-08 00:00:00,0,2.5171650015,6.5821346361,9.0996339015,37.5524686335,33.156375583,19.0663850509,14.0954210789,52,0.6791282518,AJM,22.13192,14.08322,8.09295,15.4541666667,7E-05,194.75,5.5416666667,2,19.2721,-99.2077,5.1410796516,10.6654679694,13.5996339015,49.4341562112,27.2278802812,16.9666314647,10.3452609682,1.4707949185
3.9661228228,1.3447833333,2016-03-09 00:00:00,0,2.0588316681,4.4154679694,6.4329672348,34.1008228778,33.156375583,19.0663850509,14.0954210789,67.8333333333,0.1374615851,AJM,16.47894,12.21145,9.07528,10.8666666667,0.00038,191.9583333333,9.1708333333,2,19.2721,-99.2077,3.9682061561,6.5821346361,9.0996339015,37.5524686335,33.156375583,19.0663850509,14.0954210789,1.1374615851
